timestmp,detection
2664.876,0
2716.407,0
2784.948,0
2841.152,0
2887.793,0
2935.803,0
2983.994,0
3033.109,0
3082.963,0
3124.773,0
3165.95,0
3208.036,0
3249.623,0
3291.801,0
3332.476,0
3373.797,0
3414.756,0
3457.342,0
3498.756,0
3541.593,0
3585.7870000000003,0
3626.239,0
3667.575,0
3712.245,0
3753.8540000000003,0
3793.696,0
3834.548,0
3879.857,0
3922.291,0
3968.049,0
4010.883,0
4054.099,0
4097.762,0
4140.347,0
4184.488,0
4224.742,0
4267.012,0
4307.655,0
4350.573,0
4390.645,0
4429.458,0
4471.381,0
4514.125,0
4559.307,0
4606.088,0
4649.524,0
4693.032,0
4737.586,0
4778.523,0
4818.017,0
4861.357,0
4901.668,0
4944.937,0
4987.622,0
5028.762,0
5073.78,0
5114.449,0
5156.855,0
5200.828,0
5242.803,0
5283.102,0
5324.451,0
5367.355,0
5409.652,0
5448.882,0
5491.251,0
5531.604,0
5574.557,0
5617.295,0
5663.655,0
5707.474,0
5749.594,0
5792.425,0
5834.347,0
5875.71,0
5918.441,0
5962.986,0
6005.206,0
6048.964,0
6093.825,0
6136.399,0
6176.186,0
6216.649,0
6256.061,0
6296.955,0
6335.651,0
6376.402,0
6420.255,0
6460.396,0
6501.112,0
6544.589,0
6587.536,0
6628.192,0
6672.0599999999995,0
6715.156,0
6755.854,0
6796.0560000000005,0
6836.896,0
6877.634,0
6921.535,0
6963.597,0
7005.638,0
7047.979,0
7091.963,0
7132.976,0
7174.033,0
7216.306,0
7257.279,0
7297.174,0
7338.752,0
7381.425,0
7421.258,0
7463.118,0
7506.835,0
7546.906,0
7589.261,0
7632.428,0
7676.478,0
7722.0560000000005,0
7765.309,0
7804.731,0
7846.281,0
7887.612,0
7929.705,0
7969.0,0
8008.362,0
8047.941,0
8092.892,0
8132.862,0
8175.114,0
8217.624,0
8256.029,0
8296.063,0
8338.787,0
8380.785,0
8420.735,0
8461.265,0
8503.186,0
8544.452,0
8588.197,0
8628.617,0
8670.655,0
8711.77,0
8755.137,0
8796.411,0
8837.117,0
8878.859,0
8920.861,0
8961.984,0
9005.19,0
9048.767,0
9093.145,0
9135.116,0
9175.674,0
9216.468,0
9261.298,0
9305.135,0
9346.852,0
9387.313,0
9427.654,0
9468.202,0
9508.313,0
9548.652,0
9596.212,0
9636.784,0
9678.002,0
9718.167,0
9757.538,0
9799.07,0
9838.375,0
9882.595,0
9926.103,0
9967.307,0
10010.946,0
10053.873,0
10096.393,0
10141.562,0
10180.904,0
10222.423,0
10264.091,0
10304.689,0
10348.167,0
10388.372,0
10435.229,0
10476.012,0
10517.36,0
10557.378,0
10602.953,0
10643.114,0
10686.525,0
10728.105,0
10771.961,0
10813.17,0
10855.795,0
10899.551,0
10942.605,0
10985.551,0
11026.908,0
11071.16,0
11116.144,0
11160.294,0
11200.593,0
11242.286,0
11283.575,0
11325.461,0
11368.262,0
11409.731,0
11452.208,0
11495.155,0
11535.221,0
11577.405999999999,0
11618.657,0
11659.472,0
11706.411,0
11746.492,0
11786.828,0
11831.86,0
11874.593,0
11914.864,0
11960.499,0
12002.63,0
12041.295,0
12086.577,0
12131.589,0
12170.837,0
12210.773,0
12250.605,0
12291.265,0
12332.7,0
12373.874,0
12417.089,0
12457.693,0
12501.355,0
12543.646,0
12590.012,0
12635.867,0
12680.939,1
12725.263,1
12768.757,1
12810.625,1
12852.361,1
12896.319,1
12946.155,1
12988.399,1
13031.604,1
13073.899,1
13116.656,1
13157.695,1
13198.598,1
13245.12,1
13288.873,1
13332.527,1
13372.007,1
13413.909,1
13454.333,1
13494.829,1
13535.502,1
13576.184,1
13618.512,1
13659.047,1
13698.046,1
13738.02,1
13779.111,1
13820.042,1
13865.287,1
13908.543,1
13950.681,1
13996.916,1
14037.004,1
14081.348,1
14123.392,1
14162.928,1
14205.824,1
14244.797,1
14285.503,1
14327.26,1
14365.545,1
14404.479,0
14444.802,1
14485.81,1
14523.074,1
14563.011,0
14605.706,1
14644.418,0
14684.3,1
14726.453,1
14766.596,1
14807.022,1
14845.486,1
14887.377,1
14925.369,1
14964.118,1
15005.192,1
15043.168,1
15087.295,1
15129.058,1
15170.124,1
15209.121,1
15253.015,1
15292.742,1
15333.195,1
15373.309,1
15413.717,1
15454.342,1
15494.489,1
15535.061,1
15577.165,1
